nodeName,numSlots,numInfra,numCivilian,numMilitary
Arkhangelsk,4,2,1,0
Armenia,4,3,2,0
Astrakhan,2,3,0,0
Azerbaijan,5,4,1,0
Belgorod,4,5,0,0
Bobruysk,2,5,0,0
Bryansk,4,5,0,0
Burgas,4,4,2,0
Caucasus Mountains,2,3,0,0
Cheboksary,4,4,0,0
Cherkasy,5,5,1,0
Chernigov,6,5,0,0
Dnipropetrovsk,4,5,2,0
Elista,2,2,0,0
Georgia,4,3,2,0
Gomel,2,5,0,0
Gorki,6,5,0,2
Grozny,2,4,0,0
Ivanovo,4,5,0,0
Kalinin,4,5,0,0
Kaluga,4,5,0,0
Kherson,2,5,0,0
Khmelnytskyi,4,5,1,0
Krasnodar,6,5,1,0
Kuibyshev,4,5,0,2
Kursk,6,5,0,0
Lipetsk,4,5,0,0
Luga,2,5,0,0
Mikhaylovka,2,5,0,0
Millerovo,2,5,0,0
Minsk,6,5,2,0
Mozyr,2,3,0,0
Murmansk,2,2,0,0
Mykolaiv,2,5,0,0
Nevel,2,5,0,0
Novgorod,4,5,0,0
Odessa,6,5,1,0
Olonets,2,4,0,0
Onega,2,3,0,0
Orel,2,5,1,0
Pechora,2,1,0,0
Penza,4,4,0,0
Plovdiv,5,4,2,3
Poltava,2,5,0,0
Roslavl,2,5,0,0
Rostov,6,5,1,1
Ryazan,4,5,0,0
Rzhev,2,5,0,0
Smolensk,5,5,1,0
Stalino,6,5,0,0
Stavropol,2,4,0,0
Sumy,4,5,0,0
Tambov,2,4,0,0
Tikhvin,2,4,0,0
Tula,4,5,0,2
Ulyanovsky,4,4,1,0
Vinnytsia,5,5,0,0
Vitebsk,4,5,0,0
Volgodonsk,2,4,0,0
Volkhov,2,5,0,0
Voronezh,4,5,0,1
Voroshilovgrad,4,5,0,0
Yaroslavl,5,5,1,0
Zaporozhe,4,5,0,0
Zhytomyr,4,5,0,0
